Informazioni cronologiche,"Quando senti parlare di Intelligenza Artificiale, cosa ti viene in mente? ",ai_knowledge,from_social_media,from_papers,from_news,from_courses,AI_knowledge_1,generative_AI_knowledge,ML_knowledge,DL_knowledge,LLM_knowledge,use_to_knowledge,human_bias_strength,ai_boredom,ai_minority_underrapresentation,ai_reality_distortion,data_bias,ai_human_comprehension_distance,ai_feefback_loop_bias,ai_artificial_patterns,ai_loss_of_diversity,ai_human_reasoning_simulation,tool_chatbots,tool_image_generation,tool_voice_assistants,tool_productivity,tool_recommendation,purpose_text_generation,purpose_customer_support,purpose_translation,purpose_text_analysis_synthesis,purpose_education,purpose_code_generation,purpose_research_experimentation,purpose_creativity_entertainment,purpose_data_analysis_forecasting,purpose_professional_consulting,paid_for_ai_tool,monthly_ai_sub_cost,In cosa pensi l'AI sia particolarmente efficace?,In cosa pensi l'AI abbia ancora tanta strada da fare?,Quali ulteriori funzionalità vorresti vedere applicata in un AI Generativa?  ,most_used_ai_chatgpt,most_used_ai_claude,most_used_ai_mistral,most_used_ai_gemini,most_used_ai_llama,most_used_ai_copilot,most_used_ai_grok,benefit_time_optimization,benefit_knowledge_expansion,benefit_skills_development,benefit_creativity,benefit_accuracy,disadv_job_loss,disadv_privacy_loss,disadv_power_concentration,disadv_bias_discrimination,disadv_algorithmic_transparency,disadv_tech_dependency,disadv_superintelligence,disadv_deepfake_disinfo,disadv_human_relationships,disadv_human_skills,disadv_automated_decisions,disadv_environmental_impact,disadv_military_use,sector_customer_service,sector_data_entry,sector_journalism,sector_manufacturing,sector_transport_logistics,sector_healthcare,sector_education,sector_graphics_design,sector_translation,sector_digital_marketing,sector_accounting,sector_legal,sector_retail,sector_human_resources,sector_music_production,sector_programming,sector_entertainment,sector_security,sector_finance,sector_fitness,sector_caregiving,work_instructions_from_ai,role_risk_customer_service,role_risk_data_entry,role_risk_journalism,role_risk_manufacturing,role_risk_transport_logistics,role_risk_healthcare,role_risk_education,role_risk_graphics_design,role_risk_translation,role_risk_digital_marketing,role_risk_accounting,role_risk_legal,role_risk_retail,role_risk_human_resources,role_risk_music_production,role_risk_programming,role_risk_entertainment,role_risk_security,role_risk_fitness,role_risk_caregiving,liability_medical_diagnosis,liability_autonomous_driving,liability_judicial_decisions,liability_loan_approval,liability_hiring_firing,liability_student_evaluation,ai_black_box_control,concern_deepfake_disinfo,institutional_intervention,overall_experience,age,gender,education_level,current_occupation,Settore di lavoro o studio(se applicabile): ,geographic_area
19/12/2024 20.58.58,La possibilità di utilizzarla come supporto nel problem solving,3,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,"Elaborazione di log con errori, problem solving e velocizazzione di alcuni task ripetitivi",A volte potrebbe escludere aspetti fondamentali oppure inventare risposte non applicabili,Tutto ciò che potrebbe essere utile per delegare sempre di più alcune azioni ripetitive,4.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,1.0,4.0,5,5.0,3.0,Maschile,5.0,Studente,Arte / Cultura,Nord Italia
22/12/2024 11.34.30,Comodita,1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4,1.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,5.0,2,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,Gestire i dati ,Non ho idea,Non lo so,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,2.0,4.0,4,4.0,6.0,Maschile,4.0,Imprenditore,Costruzioni / Edile,Nord Italia
22/12/2024 13.30.59,"quando sento parlare di intelligenza artificiale mi viene immediatamente in mente chat gpt o cose del genere ma sono consapevole che é molto più di questo, per esempio mi viene in mente una guida o cose del genere, che per qualsiasi cosa ha la risposta ",3,5.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,5,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3,5.0,3.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,1.0,1.0,nel rispondere rapidamente alle domande ,nel risolvere problemi o nel commettere errori umani quando richiesto ,riuscire a risolvere correttamente ai problemi e fare errori umani quando richiesto,5.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Azienda che usa l'AI,Azienda che usa l'AI,2.0,4.0,4,3.0,1.0,Femminile,4.0,Studente,chimica ,Nord Italia
22/12/2024 14.25.40,Chat GPT,3,4.0,3.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,5,4.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,3,5.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Fornire velocemente informazioni ad hoc o personalizzate in base alla richiesta,Diversificazione dei contenuti in output e affidabilità delle fonti che utilizza. ,FAQ correlate alla richiesta effettuata ,5.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,2.0,4.0,5,4.0,3.0,Femminile,6.0,Dipendente,Ingegneria / Produzione,Nord Italia
22/12/2024 15.52.43,Chat gtp e Ai,3,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2,3.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3,1.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,Nella rapidità di ricerca di informazioni,"Rimane troppo restrittivo, non agisce mai in modo addica e al 100% è sempre un po’ impreciso",Non saprei,3.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,Combinazione di tutti gli autori coinvolti,Il governo o gli enti di regolamentazione,Utente/Professionista che usa l'AI,Il governo o gli enti di regolamentazione,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,1.0,3.0,5,3.0,2.0,Femminile,4.0,Studente,Arte / Cultura,Nord Italia
22/12/2024 17.48.20,"Futuro, automatizzazione ",3,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,Aumenta la comodità e aiuta in vari aspetti della vita quotidiana ,Dovrebbe avvicinarsi più alla sensibilità umana ,Più umanità,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,3.0,4.0,4,4.0,3.0,Femminile,4.0,Dipendente,Commercio / Vendite,Nord Italia
22/12/2024 19.18.15,Kevin,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5,1.0,2.0,2.0,5.0,3.0,4.0,1.0,3.0,3.0,2,2.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,"Non lo so, non conosco abbastanza ","Non lo so, non conosco abbastanza ","Non lo so, non conosco abbastanza ",1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,3.0,5.0,4,3.0,3.0,Femminile,5.0,Libero professionista,Costruzioni / Edile,Nord Italia
22/12/2024 19.22.34,L’intelligenza artificiale,3,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5,5.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3,4.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,Lo trovo particolarmente efficace nella creazione di testi per le mail ,Su molte professioni non è ancora formato al 100% se chiedi aiuto per determinati programmi ti confonde solo le idee,boh non saprei onestamente,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,1.0,5.0,4,3.0,2.0,Maschile,4.0,Libero professionista,Costruzioni / Edile,Nord Italia
22/12/2024 21.50.55,Chat GPT,3,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,5,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,"Generare risposte in poco tempo, elaborando e analizzando molti dati al secondo ",Deve avere più inventiva ed essere più creativa come un umano ,Non lo so😅,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,2.0,4.0,5,4.0,2.0,Femminile,5.0,Studente,Ingegneria / Produzione,Nord Italia
23/12/2024 1.28.31,Un qualsiasi strumento tecnologico in grado di agire come un essere umano ,3,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3,4.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,"Nel fornire risposte che diano un’idea generale su un certo argomento nel caso della generativa, sul semplificare compiti quotidiani tramite automatizzazioni come nella domotica","Nel tenere in considerazione anche la parte emotiva e più irrazionale dell’uomo, anche se ciò L’avvicinerebbe forse troppo pericolosamente al nostro comportamento ","Che scriva in maniera più umana i testi e che generi immagini sempre più realistiche, con indicazioni però che le facciano risalire a strumenti AI per evitare il fenomeno dei deepfake",5.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,Il governo o gli enti di regolamentazione,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Utente/Professionista che usa l'AI,2.0,4.0,4,4.0,2.0,Maschile,5.0,Studente,Finanza / Economia,Nord Italia
24/12/2024 19.55.17,Copiliot ,3,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,2,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,Studio,Assistenti vocali come Siri ,Non lo so,4.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,3.0,4.0,3,4.0,1.0,Maschile,3.0,Studente,Costruzioni / Edile,Nord Italia
07/01/2025 21.45.06,Un insieme di tecniche algoritmi e modelli che permettono di ricavare informazioni da grosse moli di dati,4,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4,4.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,Nel dare spunti che devono essere capiti interpretati e approfonditi dall’umano,"Non saprei, per gli scopi per la quale la ho utilizzata, mi ha dato una mano",Non so,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Azienda che usa l'AI,Azienda che usa l'AI,Utente/Professionista che usa l'AI,3.0,4.0,5,4.0,2.0,Maschile,6.0,Dipendente,Tecnologia / IT,Sud Italia
07/01/2025 22.03.02,Futuro,2,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3,4.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,Aiutare persone nel quotidiano,Non riesce ad essere efficiente come una persona,Non so,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,Utente/Professionista che usa l'AI,Azienda che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Azienda che usa l'AI,Utente/Professionista che usa l'AI,3.0,3.0,4,4.0,3.0,Maschile,6.0,Dipendente,Ingegneria / Produzione,Nord Italia
08/01/2025 13.00.24,Chat gpt,2,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,5,4.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,"Lavoro, tutto ciò che riguarda testi (scrittura, comprensione,  traduzione etc..)",Essere aggiornata il più possibile,Creazioni immagini più accessibile,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,3.0,5.0,5,3.0,3.0,Femminile,6.0,Dipendente,Ingegneria / Produzione,Estero
08/01/2025 13.29.39,I robot,3,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,5,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3.0,3.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,In tutti le applicazioni dove può avvenire l’errore umano,Nell’aggiornamento dei dati a breve termine,Non so,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,2.0,5.0,3,3.0,6.0,Maschile,4.0,Dipendente,Tecnologia / IT,Centro Italia
08/01/2025 13.37.50,Un software che simula il cervello umano,3,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,5,4.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,3,4.0,3.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,Nel dare risposte dirette e sintetiche alle domande formulate ,Nell’emulare efficacemente il ragionamento umano,.,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,Azienda che usa l'AI,Utente/Professionista che usa l'AI,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,Azienda che usa l'AI,Utente/Professionista che usa l'AI,3.0,4.0,4,5.0,3.0,Femminile,4.0,Studente,Tecnologia / IT,Sud Italia
08/01/2025 13.43.12,Open AI,3,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,5,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,3,4.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,Velocità di analisi dei dati,Attendibilità e tracciabilità delle fonti,Non ssprei,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,Combinazione di tutti gli autori coinvolti,Utente/Professionista che usa l'AI,Il governo o gli enti di regolamentazione,Combinazione di tutti gli autori coinvolti,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,3.0,5.0,5,3.0,3.0,Maschile,6.0,Dipendente,Pubblica amministrazione,Centro Italia
08/01/2025 14.47.46,Banalmente penso subito a ChatGpt,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Lavorare con testi,Non saprei,Non saprei,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,1.0,4.0,4,3.0,3.0,Maschile,5.0,Studente,Ingegneria / Produzione,Nord Italia
08/01/2025 17.09.08,automatizzazione,3,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,4,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2,4.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,fare azioni meccaniche,essere uno strumento utile eticamente,essere applicata in contesti di povertà,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,1.0,5.0,5,3.0,3.0,Femminile,5.0,Studente,Ingegneria / Produzione,Centro Italia
