ai_knowledge,from_social_media,from_papers,from_news,from_courses,AI_knowledge_1,generative_AI_knowledge,ML_knowledge,DL_knowledge,LLM_knowledge,use_to_knowledge,human_bias_strength,ai_boredom,ai_minority_underrapresentation,ai_reality_distortion,data_bias,ai_human_reasoning_simulation,tool_chatbots,tool_image_generation,tool_voice_assistants,tool_productivity,tool_recommendation,purpose_text_generation,purpose_customer_support,purpose_translation,purpose_text_analysis_synthesis,purpose_education,purpose_code_generation,purpose_research_experimentation,purpose_creativity_entertainment,purpose_data_analysis_forecasting,purpose_professional_consulting,paid_for_ai_tool,monthly_ai_sub_cost,most_used_ai_chatgpt,most_used_ai_claude,most_used_ai_mistral,most_used_ai_gemini,most_used_ai_llama,most_used_ai_copilot,most_used_ai_grok,benefit_time_optimization,benefit_knowledge_expansion,benefit_skills_development,benefit_creativity,benefit_accuracy,disadv_job_loss,disadv_privacy_loss,disadv_power_concentration,disadv_bias_discrimination,disadv_algorithmic_transparency,disadv_tech_dependency,disadv_superintelligence,disadv_deepfake_disinfo,disadv_human_relationships,disadv_human_skills,disadv_automated_decisions,disadv_environmental_impact,disadv_military_use,sector_customer_service,sector_data_entry,sector_journalism,sector_manufacturing,sector_transport_logistics,sector_healthcare,sector_education,sector_graphics_design,sector_translation,sector_digital_marketing,sector_accounting,sector_legal,sector_retail,sector_human_resources,sector_music_production,sector_programming,sector_entertainment,sector_security,sector_finance,sector_fitness,sector_caregiving,work_instructions_from_ai,role_risk_customer_service,role_risk_data_entry,role_risk_journalism,role_risk_manufacturing,role_risk_transport_logistics,role_risk_healthcare,role_risk_education,role_risk_graphics_design,role_risk_translation,role_risk_digital_marketing,role_risk_accounting,role_risk_legal,role_risk_retail,role_risk_human_resources,role_risk_music_production,role_risk_programming,role_risk_entertainment,role_risk_security,role_risk_fitness,role_risk_caregiving,ai_black_box_control,concern_deepfake_disinfo,overall_experience,age,education_level
3,5.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,5,3.0,3.0,3.0,3.0,3.0,3,5.0,3.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0
3,4.0,3.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,5,4.0,5.0,4.0,3.0,5.0,3,5.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,6.0
3,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2,3.0,2.0,4.0,5.0,5.0,3,1.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0
3,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5,3.0,2.0,2.0,3.0,4.0,3,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0
1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5,1.0,2.0,2.0,5.0,3.0,2,2.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0
3,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5,5.0,1.0,1.0,1.0,4.0,3,4.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0
3,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,5,1.0,4.0,3.0,3.0,2.0,4,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0
3,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4,4.0,4.0,3.0,3.0,4.0,3,4.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0
3,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4,1.0,4.0,3.0,4.0,3.0,2,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0
4,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4,3.0,4.0,4.0,3.0,3.0,4,4.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,6.0
2,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4,4.0,3.0,4.0,5.0,4.0,3,4.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0
2,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,5,4.0,2.0,3.0,4.0,5.0,3,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,6.0
3,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,5,1.0,5.0,2.0,2.0,2.0,3,3.0,3.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,5.0,3.0,6.0,4.0
3,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,5,4.0,4.0,4.0,5.0,5.0,3,4.0,3.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0
3,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,5,3.0,2.0,4.0,5.0,4.0,3,4.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,6.0
1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5,4.0,2.0,4.0,4.0,4.0,3,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0
